Date,Close
5-Apr-16,"$2,045.17 "
4-Apr-16,"$2,066.13 "
1-Apr-16,"$2,072.78 "
31-Mar-16,"$2,059.74 "
30-Mar-16,"$2,063.95 "
29-Mar-16,"$2,055.01 "
28-Mar-16,"$2,037.05 "
24-Mar-16,"$2,035.94 "
23-Mar-16,"$2,036.71 "
22-Mar-16,"$2,049.80 "
21-Mar-16,"$2,051.60 "
18-Mar-16,"$2,049.58 "
17-Mar-16,"$2,040.59 "
16-Mar-16,"$2,027.22 "
15-Mar-16,"$2,015.93 "
14-Mar-16,"$2,019.64 "
11-Mar-16,"$2,022.19 "
10-Mar-16,"$1,989.57 "
9-Mar-16,"$1,989.27 "
8-Mar-16,"$1,979.26 "
7-Mar-16,"$2,001.76 "
4-Mar-16,"$1,999.99 "
3-Mar-16,"$1,993.40 "
2-Mar-16,"$1,986.45 "
1-Mar-16,"$1,978.35 "
29-Feb-16,"$1,932.23 "
26-Feb-16,"$1,948.05 "
25-Feb-16,"$1,951.70 "
24-Feb-16,"$1,929.80 "
23-Feb-16,"$1,921.27 "
22-Feb-16,"$1,945.50 "
19-Feb-16,"$1,917.78 "
18-Feb-16,"$1,917.83 "
17-Feb-16,"$1,926.83 "
16-Feb-16,"$1,895.58 "
12-Feb-16,"$1,864.78 "
11-Feb-16,"$1,829.08 "
10-Feb-16,"$1,851.86 "
9-Feb-16,"$1,852.21 "
8-Feb-16,"$1,853.44 "
5-Feb-16,"$1,880.05 "
4-Feb-16,"$1,915.45 "
3-Feb-16,"$1,912.53 "
2-Feb-16,"$1,903.03 "
1-Feb-16,"$1,939.38 "
29-Jan-16,"$1,940.24 "
28-Jan-16,"$1,893.36 "
27-Jan-16,"$1,882.95 "
26-Jan-16,"$1,903.63 "
25-Jan-16,"$1,877.08 "
22-Jan-16,"$1,906.90 "
21-Jan-16,"$1,868.99 "
20-Jan-16,"$1,859.33 "
19-Jan-16,"$1,881.33 "
15-Jan-16,"$1,880.33 "
14-Jan-16,"$1,921.84 "
13-Jan-16,"$1,890.28 "
12-Jan-16,"$1,938.68 "
11-Jan-16,"$1,923.67 "
8-Jan-16,"$1,922.03 "
7-Jan-16,"$1,943.09 "
6-Jan-16,"$1,990.26 "
5-Jan-16,"$2,016.71 "
4-Jan-16,"$2,012.66 "
31-Dec-15,"$2,043.94 "
30-Dec-15,"$2,063.36 "
29-Dec-15,"$2,078.36 "
28-Dec-15,"$2,056.50 "
24-Dec-15,"$2,060.99 "
23-Dec-15,"$2,064.29 "
22-Dec-15,"$2,038.97 "
21-Dec-15,"$2,021.15 "
18-Dec-15,"$2,005.55 "
17-Dec-15,"$2,041.89 "
16-Dec-15,"$2,073.07 "
15-Dec-15,"$2,043.41 "
14-Dec-15,"$2,021.94 "
11-Dec-15,"$2,012.37 "
10-Dec-15,"$2,052.23 "
9-Dec-15,"$2,047.62 "
8-Dec-15,"$2,063.59 "
7-Dec-15,"$2,077.07 "
4-Dec-15,"$2,091.69 "
3-Dec-15,"$2,049.62 "
2-Dec-15,"$2,079.51 "
1-Dec-15,"$2,102.63 "
30-Nov-15,"$2,080.41 "
27-Nov-15,"$2,090.11 "
25-Nov-15,"$2,088.87 "
24-Nov-15,"$2,089.14 "
23-Nov-15,"$2,086.59 "
20-Nov-15,"$2,089.17 "
19-Nov-15,"$2,081.24 "
18-Nov-15,"$2,083.58 "
17-Nov-15,"$2,050.44 "
16-Nov-15,"$2,053.19 "
13-Nov-15,"$2,023.04 "
12-Nov-15,"$2,045.97 "
11-Nov-15,"$2,075.00 "
10-Nov-15,"$2,081.72 "
9-Nov-15,"$2,078.58 "
6-Nov-15,"$2,099.20 "
5-Nov-15,"$2,099.93 "
4-Nov-15,"$2,102.31 "
3-Nov-15,"$2,109.79 "
